family_id	n_members	graph_score	core_cols	n_scored
FAM617	2	0.735	749	2
FAM618	2	0.648	2236	2
FAM619	2	0.683	3259	2
FAM620	2	0.79	2190	2
FAM621	2	0.172	575	2
FAM622	2	0.473	1707	2
FAM623	2	0.667	1107	2
FAM624	2	0.757	1158	2
FAM625	2	0.328	385	2
FAM626	2	0.214	398	2
FAM627	2	0.92	3057	2
FAM628	2	0.234	1386	2
FAM629	2	0.785	1813	2
FAM630	2	0.585	1428	2
FAM631	2	0.375	771	2
FAM632	2	0.689	855	2
FAM633	2	0.824	979	2
FAM634	2	0.599	1058	2
FAM635	2	0.149	332	2
FAM636	2	1.0	975	2
FAM637	2	0.622	903	2
FAM638	2	0.238	539	2
FAM639	2	0.96	507	2
FAM640	2	0.243	1728	2
FAM641	2	0.576	3544	2
FAM642	2	0.69	2560	2
FAM643	2	0.161	840	2
FAM644	2	0.174	586	2
FAM645	2	0.339	979	2
FAM646	2	0.161	1075	2
FAM647	2	0.322	814	2
FAM648	2	0.784	1041	2
FAM649	2	0.648	547	2
FAM650	2	0.395	3342	2
FAM651	2	0.471	1416	2
FAM652	2	0.862	1602	2
FAM653	2	0.117	949	2
FAM654	2	0.285	703	2
FAM655	2	0.072	366	2
FAM656	2	0.24	358	2
FAM657	2	0.511	1801	2
FAM658	2	0.335	1330	2
FAM659	2	0.531	1821	2
FAM660	2	0.008	38	2
FAM661	2	0.475	1096	2
FAM662	2	0.43	1194	2
FAM663	2	0.429	1047	2
FAM664	2	0.023	86	2
FAM665	2	0.048	183	2
FAM666	2	0.4	332	2
FAM667	2	0.421	343	2
FAM668	2	0.702	2246	2
FAM669	2	0.43	1469	2
FAM670	2	0.136	830	2
FAM671	2	0.275	364	2
FAM672	2	0.603	601	2
FAM673	2	0.35	586	2
FAM674	2	0.091	703	2
FAM675	2	0.378	668	2
FAM676	2	0.306	597	2
FAM677	2	1.0	496	2
FAM678	2	0.214	305	2
FAM679	2	0.005	35	2
FAM680	2	0.248	2191	2
FAM681	2	0.317	2044	2
FAM682	2	0.479	1484	2
FAM683	2	0.053	164	2
FAM684	2	0.351	696	2
FAM685	2	0.417	1073	2
FAM686	2	0.704	1331	2
FAM687	2	0.498	1090	2
FAM688	2	0.687	928	2
FAM689	2	0.87	1185	2
FAM690	2	0.593	873	2
FAM691	2	0.272	559	2
FAM692	2	0.139	691	2
FAM693	2	0.766	3398	2
FAM694	2	0.612	1790	2
FAM695	2	0.698	2523	2
FAM696	2	0.273	829	2
FAM697	2	0.218	503	2
FAM698	2	0.851	885	2
FAM699	2	0.16	251	2
FAM700	2	0.251	411	2
FAM701	2	0.446	608	2
FAM702	2	0.015	31	2
FAM703	2	0.06	329	2
FAM704	2	0.017	25	2
FAM705	2	0.29	566	2
FAM706	2	0.237	1732	2
FAM707	2	0.59	2007	2
FAM708	2	0.231	1188	2
FAM709	2	0.472	1603	2
FAM710	2	0.535	2290	2
FAM711	2	0.986	2136	2
FAM712	2	0.631	1637	2
FAM713	2	0.352	852	2
FAM714	2	0.958	1226	2
FAM715	2	0.437	987	2
FAM716	2	0.341	716	2
FAM717	2	0.713	892	2
FAM718	2	0.359	1065	2
FAM719	2	0.371	873	2
FAM720	2	0.16	546	2
FAM721	2	0.304	389	2
