# SECTION nodes (mult>=2)
node_id	multiplicity	n_genes	cyclic	is_repeat_m5	n_transcripts	softmask_frac
15611963	29	29	1	1	35	0.3415
18063634	29	29	0	1	29	1.0
19022365	29	29	0	1	31	1.0
34903941	29	29	1	1	32	1.0
43928457	29	29	0	1	35	1.0
46101586	29	29	1	1	31	0.9583
46101842	29	29	1	1	34	0.375
50409915	29	29	0	1	31	1.0
55778952	29	29	1	1	38	0.5645
64296760	29	29	0	1	30	1.0
87644784	29	29	0	1	31	1.0
88472157	29	29	0	1	34	1.0
113211218	29	29	1	1	31	0.9394
136071173	29	29	0	1	29	0.0
144675554	29	29	0	1	30	1.0
155183657	29	29	1	1	37	1.0
174417172	29	29	0	1	35	1.0
183111553	29	29	0	1	30	1.0
46	28	28	0	1	36	1.0
130	28	28	0	1	32	1.0
160	28	28	0	1	33	1.0
2050	28	28	0	1	30	1.0
2032332	28	28	0	1	29	1.0
2487620	28	28	1	1	30	0.425
8632832	28	28	1	1	29	0.8387
8632962	28	28	1	1	30	0.6889
21839314	28	28	0	1	29	1.0
30901723	28	28	1	1	32	1.0
35483088	28	28	0	1	33	1.0
36155463	28	28	1	1	32	1.0
43513107	28	28	1	1	28	0.1176
44569412	28	28	0	1	28	1.0
45585021	28	28	1	1	33	1.0
45791796	28	28	0	1	33	1.0
56398334	28	28	1	1	29	1.0
58964610	28	28	1	1	29	0.6562
64036536	28	28	1	1	29	0.7381
74786282	28	28	0	1	35	1.0
85023344	28	28	0	1	36	1.0
125527370	28	28	1	1	32	1.0
127128727	28	28	0	1	34	1.0
143380766	28	28	1	1	36	0.7455
146616808	28	28	1	1	31	0.8696
155872954	28	28	0	1	34	1.0
156404728	28	28	0	1	32	1.0
268435456	28	28	0	1	33	1.0
242	27	27	1	1	27	1.0
32768	27	27	0	1	32	1.0
62074	27	27	1	1	29	1.0
233007	27	27	0	1	28	1.0
1560078	27	27	1	1	28	0.3
3211324	27	27	0	1	27	1.0
4473924	27	27	0	1	37	1.0
7714624	27	27	1	1	27	1.0
8129328	27	27	0	1	28	1.0
15182065	27	27	0	1	35	1.0
15476795	27	27	1	1	29	0.8718
17348615	27	27	0	1	31	1.0
24450902	27	27	0	1	33	1.0
33617095	27	27	1	1	34	1.0
48454993	27	27	1	1	33	1.0
48455033	27	27	0	1	34	1.0
61268054	27	27	0	1	30	1.0
64033416	27	27	1	1	28	0.4839
64167592	27	27	1	1	28	0.5882
75112457	27	27	1	1	30	0.5278
78011985	27	27	0	1	30	1.0
80880372	27	27	1	1	31	0.4
82370718	27	27	0	1	28	1.0
122465271	27	27	1	1	28	0.9362
153391689	27	27	0	1	33	1.0
155864762	27	27	0	1	31	1.0
157970106	27	27	0	1	36	1.0
159027276	27	27	0	1	31	1.0
166335562	27	27	0	1	29	1.0
172648657	27	27	0	1	30	1.0
172942612	27	27	0	1	29	1.0
193544758	27	27	0	1	30	1.0
193585718	27	27	0	1	29	1.0
62	26	26	0	1	35	1.0
63	26	26	1	1	31	1.0
16385	26	26	0	1	32	1.0
131584	26	26	0	1	32	1.0
196656	26	26	1	1	31	1.0
1396188	26	26	0	1	29	1.0
5009124	26	26	0	1	27	1.0
8670788	26	26	1	1	26	1.0
9957458	26	26	1	1	29	0.9091
20602901	26	26	0	1	33	1.0
22104104	26	26	1	1	31	1.0
24483678	26	26	0	1	32	1.0
30858496	26	26	0	1	26	1.0
55874558	26	26	0	1	34	1.0
59488832	26	26	1	1	28	0.881
60728260	26	26	0	1	33	1.0
66376941	26	26	1	1	27	0.6
75145729	26	26	1	1	29	0.2432
80658881	26	26	0	1	27	1.0
85222889	26	26	0	1	32	1.0
85255657	26	26	0	1	27	1.0
88463965	26	26	0	1	28	1.0
117443648	26	26	0	1	27	1.0
123566216	26	26	0	1	27	0.0
142722176	26	26	0	1	26	0.0
147610681	26	26	0	1	27	1.0
150541433	26	26	0	1	29	1.0
166350522	26	26	0	1	31	1.0
175670434	26	26	0	1	27	1.0
131	25	25	0	1	27	1.0
16384	25	25	0	1	32	1.0
1428494	25	25	1	1	25	0.6
